Study,Location,Study_year,Climate_zone,Method,R0,CI,Range
Watson-Brown et al. (2019),"Brisbane, Australia",For the warmer 6 months (November–April) 1996–2015,Tropical,Three different scenarios of likelihood of an epidemic,2,,
Watson-Brown et al. (2019),"Cairns, Australia",For the warmer 6 months (November–April) 1996–2015,Tropical,Three different scenarios of likelihood of an epidemic,4.13,,
Watson-Brown et al. (2019),"Darwin, Australia",For the warmer 6 months (November–April) 1996–2015,Tropical,Three different scenarios of likelihood of an epidemic,3.52,,
Watson-Brown et al. (2019),"Rockhampton, Australia",For the warmer 6 months (November–April) 1996–2015,Tropical,Three different scenarios of likelihood of an epidemic,6.67,,
Watson-Brown et al. (2019),"Thursday Island, Australia",For the warmer 6 months (November–April) 1996–2015,Tropical,Three different scenarios of likelihood of an epidemic,3.22,,
Watson-Brown et al. (2019),"Townsville, Australia",For the warmer 6 months (November–April) 1996–2015,Tropical,Three different scenarios of likelihood of an epidemic,2.47,,
de Los Reyes and Escaner (2018),Philippines,2014,Tropical,Next generation matrix method,2.3,,
de Los Reyes and Escaner (2018),Philippines,2015,Tropical,Next generation matrix method,2.67,,
Cheng et al. (2018),"Southern region of Taiwan, China",2001–2014,Tropical,Estimates based on monthly cases and dengue-mosquito-human transmission dynamics,2.37,,
Agusto and Khan (2018),"Peshawar district, Pakistan",2017,Tropical,Deterministic model parameterized using data from the 2017 outbreak,2.64,,
Enduri and Jolad (2017),"Ahmedabad city, India",2005–2012,Tropical,Compartmental model excludes the fraction of immune people at the start of the epidemic,1.54,,
Furuya (2017),"Tokyo, Japan",2014,Temperate,"Ross-Macdonald model and Monte Carlo methods (gamma distribution), based on previous dengue outbreak conditions",1,,
Furuya (2017),"Tokyo, Japan",2020,Temperate,"Ross-Macdonald model and Monte Carlo methods (gamma distribution), based on previous dengue outbreak conditions",1.18,,
Tangena et al. (2017),Northern Lao PDR,2015,Tropical,Ross-Macdonald model,10.66,,
Villela et al. (2017),"Rio de Janeiro, Brazil",2002,Tropical,Estimate notification data and disease natural history parameters,1.7,,
Villela et al. (2017),"Rio de Janeiro, Brazil",2012,Tropical,Estimate notification data and disease natural history parameters,1.25,,
Coudeville et al. (2016),Brazil,1995–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,2.75,,
Coudeville et al. (2016),Colombia,1995–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,3.075,,
Coudeville et al. (2016),Honduras,1995–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,2.7,,
Coudeville et al. (2016),Mexico,1995–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,1.975,,
Coudeville et al. (2016),Puerto Rico,1995–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,2.15,,
Coudeville et al. (2016),"Indonesia,",1997–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,2.9,,
Coudeville et al. (2016),Malaysia,1997–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,2.1,,
Coudeville et al. (2016),Philippines,1997–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,2.9,,
Coudeville et al. (2016),Thailand,1997–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,3.675,,
Coudeville et al. (2016),Vietnam,1997–2010,Tropical,Sequential Monte Carlo approach to estimate averaged ?0,2.7,,
Funk et al. (2016),"Yap island, Federated States of Micronesia",2011–2012,Tropical,Variant of Ross-Macdonald model,12,8–16,
Funk et al. (2016),"Fais, Federated States of Micronesia",2011,Tropical,Variant of Ross-Macdonald model,65,28–102,
Sanches and Massad (2016),Ribeirão Preto. Brazil,2009–2010,Tropical,Ross-Macdonald's method,5.44,,
Sanches and Massad (2016),Ribeirão Preto. Brazil,2010–2011,Tropical,Ross-Macdonald's method,5.41,,
