loglik,beta0,alpha_i0_1,alpha_i0_2,acceptance_beta0,acceptance_alpha_i0_1,acceptance_alpha_i0_2
-300646,1.59793,0.0992145,0.0039569,0,0,0
-187838,1.30744,0.0210217,0.0477635,0.435644,0.49505,0.425743
-46799.1,1.01768,0.00276878,0.0396938,0.502488,0.497512,0.39801
-7268.81,0.930783,0.000597261,0.00412141,0.478405,0.481728,0.41196
-1105.23,1.07714,9.85163e-05,0.000555109,0.476309,0.491272,0.413965
-592.545,1.13781,4.45233e-05,0.000243314,0.449102,0.47505,0.387226
-587.821,1.14416,4.17609e-05,0.00023077,0.399334,0.429285,0.362729
-588.205,1.14583,4.1456e-05,0.000232266,0.373752,0.39087,0.339515
-590.995,1.14225,4.40567e-05,0.000244555,0.353308,0.377029,0.32834
-590.896,1.13986,4.46126e-05,0.000245889,0.337403,0.36737,0.310766
-587.893,1.14404,4.22223e-05,0.000233897,0.31968,0.346653,0.2997
-588.063,1.14548,4.13596e-05,0.000226788,0.306994,0.334242,0.295186
-588.697,1.14684,4.10989e-05,0.000231181,0.303081,0.323064,0.288093
-588.997,1.14293,4.17949e-05,0.000228999,0.29362,0.316679,0.286703
-589.783,1.14867,3.96519e-05,0.000216734,0.287652,0.311206,0.28551
-589.052,1.14249,4.20681e-05,0.00023023,0.281146,0.312458,0.282478
-588.869,1.14344,4.15486e-05,0.000230219,0.274204,0.309806,0.277951
-587.851,1.14405,4.20993e-05,0.000233676,0.272781,0.305115,0.273369
-590.965,1.14201,4.31571e-05,0.000232261,0.268184,0.30261,0.273737
-588.47,1.1428,4.27655e-05,0.000238365,0.264598,0.295108,0.268806
-588.421,1.14551,4.18794e-05,0.000230825,0.265367,0.290355,0.265867
-589.469,1.14909,3.99957e-05,0.0002205,0.262256,0.28653,0.264636
-588.583,1.14252,4.22428e-05,0.000232342,0.259882,0.285325,0.259428
-594.738,1.14825,3.9251e-05,0.000209286,0.258583,0.28292,0.261191
-588.943,1.14204,4.32019e-05,0.000240866,0.257393,0.279883,0.261141
-590.313,1.14222,4.2403e-05,0.00023886,0.257897,0.281088,0.260696
-588.249,1.14588,4.12365e-05,0.000231325,0.25644,0.279892,0.259131
-592.15,1.14018,4.49418e-05,0.000250177,0.25472,0.278415,0.25472
-590.97,1.14335,4.2891e-05,0.000244014,0.250982,0.27633,0.254195
-588.092,1.14378,4.18683e-05,0.000232839,0.249914,0.272665,0.251293
-589.318,1.14641,4.00464e-05,0.000221659,0.247251,0.26991,0.249583
-588.593,1.14811,3.9961e-05,0.000221623,0.244115,0.267011,0.250242
-589.123,1.14876,3.9687e-05,0.000218869,0.241175,0.264292,0.249297
-588.799,1.14728,3.99514e-05,0.00022101,0.23811,0.261436,0.246592
-589.352,1.14821,4.04925e-05,0.000222307,0.236401,0.260218,0.248162
-587.878,1.1449,4.16429e-05,0.0002322,0.23479,0.258783,0.247644
-589.365,1.14088,4.36994e-05,0.000241269,0.233546,0.259372,0.247709
-590.415,1.14352,4.17072e-05,0.000224468,0.23264,0.257768,0.245879
-589.494,1.14406,4.10196e-05,0.000224648,0.232833,0.257301,0.245988
-588.892,1.14338,4.29527e-05,0.000236294,0.229685,0.258139,0.245322
-588.844,1.14195,4.26417e-05,0.000233461,0.227443,0.257436,0.245689
-589.566,1.14381,4.30945e-05,0.000239829,0.227262,0.256279,0.245794
-588.454,1.14426,4.25241e-05,0.000235646,0.228279,0.255653,0.243751
-589.021,1.14332,4.31008e-05,0.000238917,0.226691,0.254127,0.243432
-588.346,1.14399,4.25606e-05,0.00023533,0.227676,0.251307,0.243354
-589.807,1.14601,4.00912e-05,0.000222679,0.226838,0.250167,0.24439
-589.335,1.14428,4.2545e-05,0.000232384,0.226038,0.248424,0.243425
-588.386,1.14791,4.02772e-05,0.000223464,0.226122,0.247394,0.243352
-588.103,1.14517,4.10667e-05,0.000225757,0.224745,0.246824,0.242033
-587.855,1.14477,4.14644e-05,0.000230444,0.224852,0.246888,0.242808
-589.956,1.14592,4.14266e-05,0.000235578,0.224355,0.247151,0.242551
-588.682,1.14754,4.09346e-05,0.000227055,0.222113,0.246814,0.240737
-590.243,1.15042,3.93793e-05,0.000218574,0.221688,0.245145,0.239377
-588.795,1.14828,3.99137e-05,0.000220151,0.220713,0.24335,0.240521
-587.827,1.14537,4.12209e-05,0.000229147,0.22144,0.242548,0.240141
-588.472,1.14593,4.05256e-05,0.000223476,0.220687,0.242683,0.241411
-588.413,1.14272,4.25449e-05,0.00023686,0.22121,0.241921,0.239243
-589.647,1.14294,4.32799e-05,0.000242739,0.220663,0.24101,0.238555
-589.791,1.14332,4.32923e-05,0.000238386,0.220824,0.240303,0.23858
-589.17,1.14438,4.26316e-05,0.00023905,0.220641,0.239112,0.239112
-590.444,1.14144,4.26019e-05,0.000230328,0.22063,0.238627,0.238627
-587.919,1.14384,4.18788e-05,0.000231929,0.219636,0.237338,0.238813
-588.025,1.14418,4.17628e-05,0.000229028,0.219158,0.237381,0.238026
-589.543,1.14668,3.99569e-05,0.000218869,0.218854,0.237105,0.23774
-589.237,1.14895,3.95022e-05,0.000218599,0.217935,0.235901,0.236526
-589.135,1.14787,3.9798e-05,0.000218481,0.217197,0.236271,0.236271
-588.219,1.1429,4.2354e-05,0.000234892,0.21724,0.237843,0.235722
-593.054,1.13959,4.31579e-05,0.00024201,0.216535,0.237576,0.235636
-588.67,1.142,4.31862e-05,0.000239074,0.216292,0.237759,0.235701
-590.275,1.14656,4.07263e-05,0.00021984,0.215621,0.237212,0.236053
-587.911,1.14649,4.0826e-05,0.000227015,0.216255,0.236966,0.236109
-588.253,1.14633,4.07195e-05,0.000223364,0.216026,0.236446,0.236305
-589.585,1.14935,4.00541e-05,0.000224152,0.216775,0.236773,0.235245
-589.246,1.14556,4.0419e-05,0.000221793,0.217094,0.236132,0.234899
-589.827,1.14842,4.08605e-05,0.000227347,0.217268,0.236319,0.234022
-593.589,1.15036,4.023e-05,0.000230267,0.217571,0.235969,0.233835
-589.254,1.14471,4.19045e-05,0.00023698,0.218524,0.236548,0.233653
-588.708,1.1448,4.18991e-05,0.000228438,0.218024,0.236852,0.234775
-588.626,1.14379,4.14986e-05,0.000227251,0.216767,0.236124,0.234457
-588.91,1.14219,4.3179e-05,0.000236572,0.217567,0.235034,0.234401
-589.262,1.14771,3.97641e-05,0.000218213,0.216848,0.235346,0.234221
-588.326,1.1473,4.02241e-05,0.000223274,0.217134,0.235156,0.233675
-590.849,1.1444,4.27672e-05,0.000242773,0.217047,0.235337,0.233996
-588.03,1.14556,4.14953e-05,0.000232033,0.216359,0.235152,0.234671
-590.68,1.14326,4.11078e-05,0.000224745,0.216522,0.23521,0.233425
-591.533,1.14983,3.89906e-05,0.000221036,0.21621,0.235737,0.233502
-591.53,1.14152,4.31994e-05,0.000245166,0.21544,0.235787,0.233694
-588.239,1.14352,4.25281e-05,0.000236996,0.215263,0.23526,0.234226
-588.205,1.14443,4.13082e-05,0.000227334,0.215316,0.235201,0.234519
-588.061,1.14365,4.22061e-05,0.000235064,0.214807,0.235254,0.234805
-589.358,1.14763,3.99758e-05,0.000218231,0.215421,0.235863,0.235085
-589.164,1.14917,3.98846e-05,0.000222266,0.215251,0.236897,0.235249
-589.24,1.14493,4.20094e-05,0.000237438,0.215411,0.237039,0.235409
-588.497,1.1438,4.15016e-05,0.000229925,0.214923,0.237071,0.235351
-592.44,1.14736,4.13717e-05,0.000237509,0.215296,0.237209,0.235188
-589.247,1.14581,4.07445e-05,0.000221245,0.215556,0.237238,0.234291
-589.151,1.14789,4.02957e-05,0.000220422,0.215707,0.237163,0.234455
-588.849,1.14726,4.03093e-05,0.00022648,0.215854,0.235852,0.233996
-592.744,1.14863,3.85513e-05,0.00021278,0.21559,0.235792,0.234364
-588.07,1.14551,4.09987e-05,0.000228326,0.215635,0.236037,0.23432
-589.76,1.14818,4.07076e-05,0.000223449,0.215178,0.235176,0.233777
-588.599,1.14595,4.0921e-05,0.000223212,0.215523,0.234432,0.234333
-588.242,1.14679,4.04988e-05,0.000222839,0.215175,0.233703,0.234095
-589.054,1.14471,4.10188e-05,0.000229335,0.214931,0.23357,0.234055
-594.087,1.14278,4.43349e-05,0.000243061,0.21546,0.233247,0.234304
-587.889,1.1446,4.16962e-05,0.000229078,0.215979,0.233406,0.234549
-589.48,1.14424,4.13292e-05,0.000223901,0.216772,0.233186,0.23394
-590.204,1.14929,3.93557e-05,0.000221851,0.217083,0.23353,0.23409
-589.216,1.1455,4.20136e-05,0.000230082,0.216554,0.232941,0.234608
-588.986,1.14263,4.28667e-05,0.00023368,0.216861,0.232731,0.2353
-590.256,1.14126,4.41385e-05,0.000243972,0.217435,0.232888,0.234888
-591.553,1.1429,4.24963e-05,0.00022741,0.216917,0.233042,0.234754
-588.475,1.14565,4.10419e-05,0.000230326,0.216499,0.232569,0.2348
-588.334,1.14758,4.03453e-05,0.000225047,0.216883,0.23228,0.235731
-588.069,1.14503,4.12489e-05,0.000229904,0.216648,0.231909,0.234804
-588.242,1.14382,4.25557e-05,0.000236402,0.216242,0.231806,0.234588
-588.902,1.14264,4.23584e-05,0.000236731,0.216705,0.231446,0.235066
-588.191,1.14289,4.26753e-05,0.000235285,0.217246,0.231604,0.234681
-588.11,1.14537,4.17163e-05,0.000229493,0.2171,0.231082,0.23498
-588.444,1.14516,4.12532e-05,0.000225059,0.216368,0.231409,0.234938
-588.424,1.14424,4.19202e-05,0.000235158,0.215982,0.230814,0.23473
